link_title,web_title,bio_url,image_url
Martins Pena,Martins Pena,https://pt.wikipedia.org/wiki/Martins_Pena,https://upload.wikimedia.org/wikipedia/commons/c/c5/Martins_Pena.jpg
Paulo Eiró,Paulo Eiró,https://pt.wikipedia.org/wiki/Paulo_Eir%C3%B3,
Visconde de Taunay,Visconde de Taunay,https://pt.wikipedia.org/wiki/Visconde_de_Taunay,https://upload.wikimedia.org/wikipedia/commons/9/97/Alfredo_Taunay.JPG
Francisco Sotero dos Reis,Francisco Sotero dos Reis,https://pt.wikipedia.org/wiki/Francisco_Sotero_dos_Reis,https://upload.wikimedia.org/wikipedia/commons/f/fd/Francisco_Sotero_dos_Reis_1873_cropped0.jpg
Joaquim Caetano da Silva,Joaquim Caetano da Silva,https://pt.wikipedia.org/wiki/Joaquim_Caetano_da_Silva,
Francisco de Sales Torres Homem,Francisco de Sales Torres Homem,https://pt.wikipedia.org/wiki/Francisco_de_Sales_Torres_Homem,https://upload.wikimedia.org/wikipedia/commons/2/23/Francisco_de_Sales_Viscount_of_Inhomirim.jpg
João Francisco Lisboa,João Francisco Lisboa,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Francisco_Lisboa,https://upload.wikimedia.org/wikipedia/commons/4/47/Jo%C3%A3o_Francisco_Lisboa.jpg
Justiniano José da Rocha,Justiniano José da Rocha,https://pt.wikipedia.org/wiki/Justiniano_Jos%C3%A9_da_Rocha,
João Manuel Pereira da Silva,João Manuel Pereira da Silva,https://pt.wikipedia.org/wiki/Jo%C3%A3o_Manuel_Pereira_da_Silva,https://upload.wikimedia.org/wikipedia/commons/e/e7/Jo%C3%A3o_Manoel_Pereira_da_Silva_-_Litografia_(cropped-2).jpg
Joaquim Felício dos Santos,Joaquim Felício dos Santos,https://pt.wikipedia.org/wiki/Joaquim_Fel%C3%ADcio_dos_Santos,
Guimarães Júnior,Guimarães Júnior,https://pt.wikipedia.org/wiki/Guimar%C3%A3es_J%C3%BAnior,https://upload.wikimedia.org/wikipedia/commons/9/9c/Guimar%C3%A3esJ%C3%BAnior.jpg
Artur Azevedo,Artur Azevedo,https://pt.wikipedia.org/wiki/Artur_Azevedo,https://upload.wikimedia.org/wikipedia/commons/8/8e/Artur_Azevedo.jpg
Francisco Otaviano,Francisco Otaviano,https://pt.wikipedia.org/wiki/Francisco_Otaviano,https://upload.wikimedia.org/wikipedia/commons/3/32/Francisco_Octaviano.jpg
Machado de Assis,Machado de Assis,https://pt.wikipedia.org/wiki/Machado_de_Assis,https://upload.wikimedia.org/wikipedia/commons/9/98/Machado_de_Assis_1904.jpg
Júlia Lopes de Almeida,Júlia Lopes de Almeida,https://pt.wikipedia.org/wiki/J%C3%BAlia_Lopes_de_Almeida,https://upload.wikimedia.org/wikipedia/commons/7/71/J%C3%BAlia_Lopes_de_Almeida%2C_sem_data.tif
Xavier Marques,Xavier Marques,https://pt.wikipedia.org/wiki/Xavier_Marques,https://upload.wikimedia.org/wikipedia/commons/3/3e/Xavier_Marques.png
Manuel de Oliveira Paiva,Manuel de Oliveira Paiva,https://pt.wikipedia.org/wiki/Manuel_de_Oliveira_Paiva,
Raul Pompéia,Raul Pompéia,https://pt.wikipedia.org/wiki/Raul_Pomp%C3%A9ia,https://upload.wikimedia.org/wikipedia/commons/d/d6/Raul_Pompeia.jpg
Adherbal de Carvalho,Adherbal de Carvalho,https://pt.wikipedia.org/wiki/Adherbal_de_Carvalho,
Adolfo Caminha,Adolfo Caminha,https://pt.wikipedia.org/wiki/Adolfo_Caminha,
Aluísio Azevedo,Aluísio Azevedo,https://pt.wikipedia.org/wiki/Alu%C3%ADsio_Azevedo,https://upload.wikimedia.org/wikipedia/commons/4/4e/Aluisio_Azevedo.jpg
Domingos Olímpio,Domingos Olímpio,https://pt.wikipedia.org/wiki/Domingos_Ol%C3%ADmpio,
Inglês de Sousa,Inglês de Sousa,https://pt.wikipedia.org/wiki/Ingl%C3%AAs_de_Sousa,https://upload.wikimedia.org/wikipedia/commons/b/be/Ingl%C3%AAs_de_Souza.jpg
Júlio Ribeiro,Júlio Ribeiro,https://pt.wikipedia.org/wiki/J%C3%BAlio_Ribeiro,
