profession_id,bio_url
d9792821-e6ed-43f4-999c-20a7613408e4,Avelino_F%C3%B3scolo
d9792821-e6ed-43f4-999c-20a7613408e4,Cardoso_de_Oliveira
d9792821-e6ed-43f4-999c-20a7613408e4,Pardal_Mallet
d9792821-e6ed-43f4-999c-20a7613408e4,Baptista_Cepellos
d9792821-e6ed-43f4-999c-20a7613408e4,Faria_Neves_Sobrinho
d9792821-e6ed-43f4-999c-20a7613408e4,Carneiro_Vilela
d9792821-e6ed-43f4-999c-20a7613408e4,Theot%C3%B4nio_Freire
d9792821-e6ed-43f4-999c-20a7613408e4,Manoel_Ar%C3%A3o_de_Oliveira_Campos
d9792821-e6ed-43f4-999c-20a7613408e4,Afonso_Celso
d9792821-e6ed-43f4-999c-20a7613408e4,Alberto_de_Oliveira
d9792821-e6ed-43f4-999c-20a7613408e4,Bastos_Tigre
d9792821-e6ed-43f4-999c-20a7613408e4,Em%C3%ADlio_de_Menezes
d9792821-e6ed-43f4-999c-20a7613408e4,F%C3%A9lix_Pacheco
d9792821-e6ed-43f4-999c-20a7613408e4,Francisca_J%C3%BAlia
d9792821-e6ed-43f4-999c-20a7613408e4,Jos%C3%A9_Maria_Goulart_de_Andrade
d9792821-e6ed-43f4-999c-20a7613408e4,Humberto_de_Campos
d9792821-e6ed-43f4-999c-20a7613408e4,Jo%C3%A3o_Batista_Ribeiro_de_Andrade_Fernandes
d9792821-e6ed-43f4-999c-20a7613408e4,J%C3%BAlia_Cortines
d9792821-e6ed-43f4-999c-20a7613408e4,Lu%C3%ADs_Carlos_da_Fonseca_Monteiro_de_Barros
d9792821-e6ed-43f4-999c-20a7613408e4,Lu%C3%ADs_Guimar%C3%A3es
d9792821-e6ed-43f4-999c-20a7613408e4,Magalh%C3%A3es_de_Azeredo
d9792821-e6ed-43f4-999c-20a7613408e4,Martins_Fontes
d9792821-e6ed-43f4-999c-20a7613408e4,Olavo_Bilac
d9792821-e6ed-43f4-999c-20a7613408e4,Oleg%C3%A1rio_Mariano
d9792821-e6ed-43f4-999c-20a7613408e4,Raimundo_Correia
